URL;Name/Alias;Appearances;Current?;Gender;Probationary Introl;Full/Reserve Avengers Intro;Year;Years since joining;Honorary;Death1;Return1;Death2;Return2;Death3;Return3;Death4;Return4;Death5;Return5;Notes;N/A
http://marvel.wikia.com/Robert_Baldwin_(Earth-616)#;Robbie Baldwin;299;NO;MALE;N/A;10-Jun;2010;5;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Sharon_Carter_(Earth-616)#;Sharon Carter;333;NO;FEMALE;N/A;10-May;2010;5;Full;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died in Captain_America_Vol_7_10. It's not clear how she survived but yeah she totally did. ;N/A
http://marvel.wikia.com/Eric_O%27Grady_(Earth-616)#;Eric O'Grady;88;NO;MALE;N/A;10-May;2010;5;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died in Secret_Avengers_Vol_1_22. ;N/A
http://marvel.wikia.com/Brunnhilde_(Earth-616)#;Brunnhilde;369;NO;FEMALE;N/A;10-May;2010;5;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA but died/came back during Ragnarok prior to becoming an Avenger;N/A
http://marvel.wikia.com/Richard_Rider_(Earth-616)#;Richard Rider;380;NO;MALE;N/A;10-May;2010;5;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died in Guardians_of_the_Galaxy_Vol_3_20.;N/A
http://marvel.wikia.com/Brian_Braddock_(Earth-616)#;Brian Braddock;545;NO;MALE;N/A;10-May;2010;5;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Dennis_Sykes_(Earth-616)#;Dennis Sykes;6;NO;MALE;N/A;10-Sep;2010;5;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died in Heroic_Age:_One_Month_to_Live_Vol_1_5 stayed dead. ;N/A
http://marvel.wikia.com/Noh-Varr_(Earth-616)#;Noh-Varr;126;YES;MALE;N/A;10-Jun;2010;5;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Thaddeus_Ross_(Earth-616)#;Thaddeus Ross;417;NO;MALE;N/A;11-Jun;2011;4;Full;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died in Circle of Four arc. Made a deal with Mephisto and came back. ;N/A
http://marvel.wikia.com/John_Aman_(Earth-616)#;John Aman;31;YES;MALE;N/A;10-Dec;2010;5;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Shang-Chi_(Earth-616)#;Shang-Chi;310;YES;MALE;N/A;11-Apr;2011;4;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/James_Santini_(Earth-616)#;James Santini;40;YES;MALE;N/A;N/A;1900;115;Academy;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Emery_Schaub_(Earth-616)#;Emery Schaub;26;YES;MALE;N/A;N/A;1900;115;Academy;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Jeanne_Foucault_(Earth-616)#;Jeanne Foucault;63;YES;FEMALE;N/A;10-Aug;2010;5;Academy;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Fiona_(Inhuman)_(Earth-616)#;Fiona;2;YES;FEMALE;N/A;N/A;1900;115;Academy;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Jennifer_Takeda_(Earth-616)#;Jennifer Takeda;73;YES;FEMALE;N/A;10-Aug;2010;5;Academy;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
